"TWEET_ID","ENT","I","E","IOB_TAG","TYPE"
"1000001568312348672","Kurt","12","16","B","Contributor"
"1000001568312348672","Atterberg","17","26","I","Contributor"
"1000001568312348672","Jakob","28","33","B","Contributor"
"1000001568312348672","Koranyi","34","41","I","Contributor"
"1000001568312348672","Cello","44","49","B","Work"
"1000001568312348672","Concerto","50","58","I","Work"
"1000001568312348672","in","59","61","I","Work"
"1000001568312348672","C","62","63","I","Work"
"1000001568312348672","m","64","65","I","Work"
"1000011266860244992","Traditional","12","23","B","Contributor"
"1000011266860244992","Swedish","24","31","I","Contributor"
"1000011266860244992","Jakob","33","38","B","Contributor"
"1000011266860244992","Koranyi","39","46","I","Contributor"
"1000011266860244992","Ack","49","52","B","Work"
"1000011266860244992","Värmeland,","53","63","I","Work"
"1000011266860244992","du","64","66","I","Work"
"1000011266860244992","sköna","67","72","I","Work"
"1000011266860244992","(Oh,","73","77","I","Work"
"1000012141687132160","Antonín","12","19","B","Contributor"
"1000012141687132160","Dvořák","20","26","I","Contributor"
"1000012141687132160","Symphony","29","37","B","Work"
"1000012141687132160","No","38","40","I","Work"
"1000012141687132160","6","41","42","I","Work"
"1000012141687132160","in","43","45","I","Work"
"1000012141687132160","D","46","47","I","Work"
"1000012141687132160","ma","48","50","I","Work"
"1000024831079919617","Robert","12","18","B","Contributor"
"1000024831079919617","Schumann","19","27","I","Contributor"
"1000024831079919617","Maximilian","29","39","B","Contributor"
"1000024831079919617","Hornung","40","47","I","Contributor"
"1000024831079919617","Cello","50","55","B","Work"
"1000024831079919617","Concerto","56","64","I","Work"
"1000024831079919617","in","65","67","I","Work"
"1000024831079919617","A","68","69","I","Work"
"1000024831079919617","m","70","71","I","Work"
"1000031386852610048","Allan","12","17","B","Contributor"
"1000031386852610048","Pettersson","18","28","I","Contributor"
"1000031386852610048","Symphony","31","39","B","Work"
"1000031386852610048","no.","40","43","I","Work"
"1000031386852610048","7","44","45","I","Work"
"1000043790411935744","Franz","12","17","B","Contributor"
"1000043790411935744","Lehár","18","23","I","Contributor"
"1000043790411935744","Nicolai","25","32","B","Contributor"
"1000043790411935744","Gedda","33","38","I","Contributor"
"1000043790411935744","Dein","41","45","B","Work"
"1000043790411935744","ist","46","49","I","Work"
"1000043790411935744","mein","50","54","I","Work"
"1000043790411935744","ganzes","55","61","I","Work"
"1000044792259235840","Johann","12","18","B","Contributor"
"1000044792259235840","Sebastian","19","28","I","Contributor"
"1000044792259235840","Bach","29","33","I","Contributor"
"1000044792259235840","Nigel","35","40","B","Contributor"
"1000044792259235840","Kennedy","41","48","I","Contributor"
"1000044792259235840","Concerto","51","59","B","Work"
"1000044792259235840","for","60","63","I","Work"
"1000044792259235840","violin","64","70","I","Work"
"1000044792259235840","a","71","72","I","Work"
"1000045777023094784","Namvula","12","19","B","Contributor"
"1000045777023094784","Live","22","26","B","Work"
"1000045777023094784","from","27","31","I","Work"
"1000045777023094784","the","32","35","I","Work"
"1000045777023094784","stage","36","41","I","Work"
"1000045777023094784","at","42","44","I","Work"
"1000045777023094784","the","45","48","I","Work"
"1000045777023094784","Biggest","49","56","I","Work"
"1000045777023094784","Weekend","57","64","I","Work"
"1000048738054885376","Eddi","12","16","B","Contributor"
"1000048738054885376","Reader","17","23","I","Contributor"
"1000048738054885376","Live","26","30","B","Work"
"1000048738054885376","from","31","35","I","Work"
"1000048738054885376","the","36","39","I","Work"
"1000048738054885376","stage","40","45","I","Work"
"1000048738054885376","at","46","48","I","Work"
"1000048738054885376","the","49","52","I","Work"
"1000048738054885376","Biggest","53","60","I","Work"
"1000048738054885376","Weekend","61","68","I","Work"
"1000051905580683264","Evelyn","12","18","B","Contributor"
"1000051905580683264","Glennie","19","26","I","Contributor"
"1000051905580683264","Live","29","33","B","Work"
