"TWEET_ID","DATE","TEXT","ENT"
"993023758679052291","Sun May 06 07:04:48 +0000 2018","@drol007 @BBCRadio3 Good to keep these birds on the agenda @drol007. We all need to look after them .. and their habitats."
"993027205998538752","Sun May 06 07:18:30 +0000 2018","@BBCRadio3 is playing birdsong and it is PERFECT. It is a recording of a dawn chorus from May 2010. Can’t see why it didn’t chart."
"993027698195918848","Sun May 06 07:20:27 +0000 2018","Same sounds outside and inside, thanks @BBCRadio3, lovely broadcast of singing nightingales."
"993029065404813313","Sun May 06 07:25:53 +0000 2018","It’s that time, when you hear wildlife on @BBCRadio3"
"993029094542462976","Sun May 06 07:26:00 +0000 2018","It's International Dawn Chorus Day! So: can you identify this bird from its song alone?"
"993029334054121472","Sun May 06 07:26:57 +0000 2018","It's a glorious morning &amp; I have some glorious music lined up for #SundayMorning @BBCRadio3 , inc wonderful vocal sounds from @Papagenasingers ,plus Raff,Clara Scumann, and Barry Douglas collaborating with @mckaystout . Join me from 9 (@7digitalCreativ )","153,157,Contributor","158,171,Contributor","177,190,Contributor"
"993029562903744512","Sun May 06 07:27:52 +0000 2018","Tolly cat would like me to say that he very much appreciates the birdsong on @BBCRadio3 - the radio station with something for every human and cat."
"993029574987517954","Sun May 06 07:27:54 +0000 2018","@BBCRadio3 thank you for the birds song today. Unfortunately our cat didn’t pay any attention to it! He was more interested 8n having his Breakfast,"
"993030199724953600","Sun May 06 07:30:23 +0000 2018",".@bbcradio3 ....delightful"
"993030360777809920","Sun May 06 07:31:02 +0000 2018","@cbhallgardens: .@bbcradio3 ....delightful Shared via TweetCaster"
"993030527601950721","Sun May 06 07:31:42 +0000 2018","@MaplesonF @traumagasdoc @BBCRadio3 Well it just happens that I have a pet manatee that keeps running into things....."
"993030860411719681","Sun May 06 07:33:01 +0000 2018","@BBCRadio3 despite it being a glorious morning here in Manchester the dawn chorus was somewhat underwhelming!"
"993031235868987393","Sun May 06 07:34:30 +0000 2018","@redmond_tom @BBCRadio3 @TomParnellMcr @bonaomi1 You did that all the while carrying your own water in the side pocket of your rucksack!"
"993031444074323968","Sun May 06 07:35:20 +0000 2018","@Sleepy_Suz @traumagasdoc @BBCRadio3 Well, send them to the bedroom I had as a teenager, where I apparently have an optometry lab in my wardrobe... 🤷‍♀️"
"993031949823324160","Sun May 06 07:37:21 +0000 2018","@MaplesonF @traumagasdoc @BBCRadio3 Excellent! Will DM you for directions."
"993031972397244417","Sun May 06 07:37:26 +0000 2018","@BBCRadio3 Honey sweet Dawn chorus in the Garden Of England coming home from Street Pastor Patrol in Maidstone this morning #internationaldawnchorusday"
"993033379120668672","Sun May 06 07:43:01 +0000 2018","Is it just a load of old conkers? How the beloved horse chestnut tree is 'pretty useless'..."
"993033714052534272","Sun May 06 07:44:21 +0000 2018","Been trying to get out of bed since 8am but @BBCRadio3 breakfast playing such wonderful music I cannot move....."
"993034545149693952","Sun May 06 07:47:39 +0000 2018","Tippett's Dance, Clarion Air on @BBCRadio3 was a good (late) start to Sunday morning.","0,7,Contributor","10,15,Work","17,28,Work"
"993034874234818560","Sun May 06 07:48:58 +0000 2018","@BBCRadio3 Excellent tweet to start my day. But the chiff-chaff “dumpy”, I think not, it is really elegant."
"993034942442561536","Sun May 06 07:49:14 +0000 2018","Through the Night: music from around Europe, starting at 2017 @bbcproms with Adams, Dvořák 🎻 &amp; Mahler 1st Symphony @mutterviolinne @HellTweet @pghsymphony @manfredhoneck (cc @WQEDFM) Listen here in HD sound for 30 days","77,82,Contributor","84,90,Contributor","100,106,Contributor","107,119,Work"
