"TWEET_ID","ENT","I","E","IOB_TAG","TYPE"
"993029334054121472","Raff","153","157","B","Contributor"
"993029334054121472","Clara","158","163","B","Contributor"
"993029334054121472","Scumann","164","171","I","Contributor"
"993029334054121472","Barry","177","182","B","Contributor"
"993029334054121472","Douglas","183","190","I","Contributor"
"993034545149693952","Tippett","0","7","B","Contributor"
"993034545149693952","Dance","10","15","B","Work"
"993034545149693952","Clarion","17","24","B","Work"
"993034545149693952","Air","25","28","I","Work"
"993034942442561536","Adams","77","82","B","Contributor"
"993034942442561536","Dvořák","84","90","B","Contributor"
"993034942442561536","Mahler","100","106","B","Contributor"
"993034942442561536","1st","107","110","B","Work"
"993034942442561536","Symphony","111","119","I","Work"
"993036513641451520","Bach","67","71","B","Contributor"
"993051864886325248","Tippett","142","149","B","Contributor"
"993051864886325248","Tippett","164","171","B","Contributor"
"993051864886325248","solo","198","202","B","Work"
"993051864886325248","violin","203","209","I","Work"
"993051864886325248","1","210","211","I","Work"
"993064251228123136","Artie","51","56","B","Contributor"
"993064251228123136","Shaw","57","61","I","Contributor"
"993064251228123136","Clarinet","64","72","B","Work"
"993064251228123136","Concerto","73","81","I","Work"
"993064251228123136","Shaw","194","198","B","Contributor"
"993064251228123136","Harry","200","205","B","Contributor"
"993064251228123136","James","206","211","I","Contributor"
"993064251228123136","Jazz","255","259","B","Work"
"993064251228123136","Session","260","267","I","Work"
"993064303795294208","Dumbarton","93","102","B","Work"
"993064303795294208","Oaks","103","107","I","Work"
"993064303795294208","Walton","158","164","B","Contributor"
"993064303795294208","Partita","167","174","B","Work"
"993064303795294208","the","198","201","B","Work"
"993064303795294208","first","202","207","I","Work"
"993064303795294208","symphony","208","216","I","Work"
"993069999983153152","Billie","11","17","B","Contributor"
"993069999983153152","Holiday","18","25","I","Contributor"
"993070749949755392","Spiegel","12","19","B","Work"
"993070749949755392","im","20","22","I","Work"
"993070749949755392","Spiegel","23","30","I","Work"
"993071035875504128","Spiegel","8","15","B","Work"
"993071035875504128","im","16","18","I","Work"
"993071035875504128","Spiegel","19","26","I","Work"
"993072459388719104","Robert","20","26","B","Contributor"
"993072459388719104","Worby","27","32","I","Contributor"
"993072459388719104","Hear","90","94","B","Work"
"993072459388719104","and","95","98","I","Work"
"993072459388719104","Now","99","102","I","Work"
"993072459388719104","The","185","188","B","Work"
"993072459388719104","Critical","189","197","I","Work"
"993072459388719104","Rush","198","202","I","Work"
"993076932223885313","Handel","87","93","B","Contributor"
"993076932223885313","Corette","123","130","B","Contributor"
"993076932223885313","Opus","133","137","B","Work"
"993076932223885313","26","138","140","I","Work"
"993076932223885313","T.Arne","161","167","B","Contributor"
"993090323789303808","Dolores","42","49","B","Contributor"
"993090323789303808","Keane","50","55","I","Contributor"
"993091793507045376","Never","0","5","B","Work"
"993091793507045376","Be","6","8","I","Work"
"993091793507045376","the","9","12","I","Work"
"993091793507045376","Sun","13","16","I","Work"
"993091793507045376","Donal","19","24","B","Contributor"
"993091793507045376","MacDonagh","25","34","I","Contributor"
"993091793507045376","Long","35","39","I","Contributor"
"993091889371996160","Isabelle","100","108","B","Contributor"
"993091889371996160","Faust","109","114","I","Contributor"
"993101824004505601","Corelli","88","95","B","Contributor"
"993101824004505601","Violin","98","104","B","Work"
"993101824004505601","Sonatas","105","112","I","Work"
"993101824004505601","Op.","113","116","I","Work"
"993101824004505601","5","117","118","I","Work"
"993101824004505601","Linn","120","124","B","Contributor"
"993101824004505601","Pavlo","162","167","B","Contributor"
"993101824004505601","Beznosiuk","168","177","I","Contributor"
"993106181395804161","Aïcha","16","21","B","Contributor"
"993106181395804161","Redouane","22","30","I","Contributor"
"993106181395804161","Al-Adwar","37","45","B","Contributor"
"993106181395804161","Ensemble","46","54","I","Contributor"
"993106181395804161","Uhibbuka","64","72","B","Work"
